id,Summary,Status,Keywords,Owner,Type,Priority
9257,EXIF GPS data,assigned,has-patch dev-feedback,,enhancement,normal
11895,Allow more specific image size editing,new,has-patch dev-feedback has-ui-feedback reporter-feedback,,feature request,normal
15149,image_get_intermediate_size partly ignores 'path' and 'url' fields and has inconsistent return values,new,has-patch,,enhancement,normal
15311,dynamic image resize (on the fly) using already available functions,new,dev-feedback has-patch,,enhancement,normal
16165,Media Library Bulk Delete: Error in deleting...,assigned,has-patch dev-feedback,nacin,enhancement,normal
17857,WP_Embed - Split shortcode() function into two for increased flexibility,new,has-patch reporter-feedback 2nd-opinion,,enhancement,normal
18730,media_sideload_image() doesn't handle dynamic image url's well,new,has-patch,,defect (bug),normal
18947,get_intermediate_image_sizes() should also contain width/height/crop values as sub array,assigned,has-patch dev-feedback close,,enhancement,normal
19512,wp_read_image_metadata includes bitmap in description,new,has-patch needs-refresh,,defect (bug),normal
21569,Filter gallery styles with access to $attr,new,has-patch needs-refresh,,enhancement,normal
21679,media_handle_upload does not provide a way to change the file's name,new,has-patch,,enhancement,normal
22100,Treat built-in image sizes the same as custom image sizes,new,has-patch needs-refresh,,enhancement,normal
23148,Add hook in wp_ajax_save_attachment for additional attachment fields,reopened,has-patch 2nd-opinion dev-feedback needs-dev-note needs-docs,audrasjb,enhancement,normal
23205,New Media Uploader slow for sites with many images,new,dev-feedback has-patch close,,enhancement,normal
23779,Can't insert large image if it's smaller than media setting but larger than theme setting,new,has-patch dev-feedback,,defect (bug),normal
24380,Missing Compression Parameter in WP_Image_Editor_GD,reopened,has-patch dev-feedback needs-refresh,wonderboymusic,enhancement,normal
24430,inconsistent icon_dir/icon_dirs use in wp_mime_type_icon and wp_get_attachment_image_src,new,has-patch,,defect (bug),normal
24688,Memory exhaustion caused by very many unattached media,new,has-patch has-test-info reporter-feedback,,defect (bug),normal
24815,get_the_post_thumbnail() fetches full sized image if 'post-thumbnail' custom size not defined in theme,new,needs-codex has-patch needs-refresh,,defect (bug),normal
25899,Adding mediaelement CSS links outside of head tags breaks HTML5 validation,new,has-patch,,defect (bug),normal
26992,"Failing to make new yyyy/mm for uploads affects existing URLs (WP_CONTENT_URL, wp_get_attachment_url and GUID)",new,has-patch needs-unit-tests needs-test-info 2nd-opinion,,defect (bug),normal
27139,Image caption disappears if images are rearranged immediately after adding the caption.,new,has-patch has-test-info,,defect (bug),normal
27919,Similar strings for media modal,accepted,has-patch,joedolson,defect (bug),normal
28053,Fields with same name added to new media modal using 'attachment_fields_to_edit' do not pass as an array when saving.,accepted,has-patch,joedolson,defect (bug),normal
28077,Use exif_imagetype instead of getimagesize in file_is_displayable_image,new,has-patch has-unit-tests,,enhancement,normal
28185,Expose image attachment title and/or filename in the image details modal,new,has-patch dev-feedback,,enhancement,normal
28381,Filter for unattached attachments count,new,has-patch needs-refresh,,enhancement,normal
28474,WordPress destroys animation in animated GIF when it resizes,assigned,has-patch changes-requested,,defect (bug),normal
28634,Upload images. does not clear Thumbnails metadata (+30kb from camera for each thumbnails),reopened,has-patch,joemcgill,enhancement,normal
29727,Porting self-hosted Wordpress to HTTPS: mixed content,new,has-patch https needs-test-info,,feature request,normal
30150,apply_filters( 'image_size_names_choose' ) should be provided a named context,new,has-patch,,enhancement,normal
30691,Removing a featured image does not remove the 'post_parent' value - reproducible,reopened,2nd-opinion has-patch,,defect (bug),normal
31029,Allow 0 columns in gallery settings,assigned,good-first-bug has-patch,rhurling,defect (bug),normal
31570,Infinite loop when filtering Media Library images by size in a modal (using wp_prepare_attachment_for_js),assigned,has-patch dev-feedback,fuhton,defect (bug),normal
31689,Media player not working with 302 redirects,new,has-patch has-unit-tests,,defect (bug),normal
31945,Deleting a user without reassigning should have clearer messaging about the implications,new,has-patch needs-refresh 2nd-opinion,,enhancement,normal
32654,Denying upload_files cap makes Customizer and Media modal act oddly,assigned,has-patch,wonderboymusic,defect (bug),normal
33278,Naming files with dimensions when manually cropping images,new,has-patch needs-refresh,,enhancement,normal
33959,Improve wp_get_attachment_thumb_file,new,has-patch needs-refresh needs-unit-tests,,enhancement,normal
34225,Display correct dimensions for image sizes in media modal,new,has-patch,,defect (bug),normal
34638,New function for retrieving previous and next adjacent image,new,has-patch,,feature request,normal
34736,wp_calculate_image_srcset filter: provide the individual srcset image size,accepted,has-patch,joemcgill,defect (bug),normal
34981,Usage of `image_size_names_choose` breaks JS attachment model attributes,assigned,has-patch needs-unit-tests has-test-info,,defect (bug),normal
35092,Remove crop check in wp_prepare_attachment_for_js() for sizes,reviewing,has-patch reporter-feedback,joemcgill,defect (bug),normal
35593,Metadata from wrong file in media_handle_upload,reviewing,has-patch needs-testing,,defect (bug),normal
35959,Functon 'wp_generate_attachment_metadata(...)' silently swallowing errors from 'wp_get_image_editor(...)'.,new,has-patch needs-refresh,,defect (bug),normal
36194,Media Settings page description is unclear,new,has-patch,,enhancement,normal
36273,update_attached_file() on Windows will result in invalid image path when using native Windows directory separators,new,needs-unit-tests has-patch,,defect (bug),normal
36418,Custom MIME type icons lost in WP Media List view,new,dev-feedback has-patch,,defect (bug),normal
36437,wp_delete_attachment causes warning,new,has-patch has-unit-tests,,defect (bug),normal
36916,Refactor EditAttachments frame to work outside Media Library admin page,new,has-patch needs-refresh reporter-feedback,,enhancement,normal
36931,wp_upload_dir caches calls with default arguments separately from their explicit equivalent,new,has-patch has-unit-tests,,defect (bug),normal
36982,Add image attributes and additional context to the wp_calculate_image_srcset and wp_calculate_image_sizes filters,assigned,has-patch 2nd-opinion has-unit-tests,adamsilverstein,enhancement,normal
37005,Unit test for the wp_check_filetype method,new,has-patch has-unit-tests needs-refresh,,enhancement,normal
37549,Add optional parameter to wp_generate_attachment_metadata for image dimensions.,reviewing,has-patch,joemcgill,enhancement,normal
37581,"text overflows, if it has no hyphens on media upload error notices",new,has-screenshots has-patch,,defect (bug),normal
37773,Update get_avatar() to support native and registered image sizes.,new,has-patch has-unit-tests reporter-feedback dev-feedback needs-refresh,,enhancement,normal
38026,Add Delete link to details modal when file in trash,new,has-patch,,enhancement,normal
38479,Need to check utf8_encode() is available before use.,new,has-patch,,defect (bug),normal
39004,Alt attributes should be searchable in media library,accepted,has-patch has-unit-tests phase-3-media-triage needs-design,joedolson,enhancement,normal
39387,Responsive Images Broken When Full Size <= 300 px,reviewing,has-patch,joemcgill,defect (bug),normal
39553,Use REST API endpoints for Plupload backend,new,has-patch,,enhancement,normal
39625,Give an error message when a non-image is uploaded for featured image,new,has-patch needs-screenshots changes-requested,,defect (bug),normal
39647,"Make media upload ""HTTP error."" more user-helpful",new,has-patch needs-test-info,,defect (bug),normal
39883,Code hooking on `image_downsize` can no longer assume the file is an image,assigned,has-patch 2nd-opinion,joemcgill,defect (bug),normal
39968,Media Library: deleting all items on the last page loses the pagination/navigation buttons and shows message,reopened,has-patch has-test-info dev-feedback,antpb,defect (bug),normal
40076,Add Filter option Attached,new,has-patch needs-refresh 2nd-opinion,,enhancement,normal
40370,"add_image_sizes does not create the ""crop position"" versions of the image",reopened,good-first-bug has-patch 2nd-opinion has-unit-tests needs-testing,,enhancement,normal
40415,Imagick resize filter hook,assigned,has-patch has-test-info dev-feedback,adamsilverstein,enhancement,normal
40590,"wp_video_shortcode always adds controls=""controls""",new,has-patch has-unit-tests needs-refresh,,defect (bug),normal
40638,In attachments taxonomy displays slug instead of name,new,has-patch,,defect (bug),normal
40774,Refine error message when embedding invalid Video (URL),new,has-patch needs-refresh 2nd-opinion,,enhancement,normal
40806,Subtitles show no media files in browser when there are some,new,has-patch close,,defect (bug),normal
41148,Test for ticket 39875 can throw PHP error,new,has-patch,,defect (bug),normal
41332,Introduce dedicated capabilities for managing attachments,new,2nd-opinion granular-capabilities has-patch has-unit-tests,,enhancement,normal
41353,Async upload breaks when there are special characters into file name,new,has-patch dev-feedback,,defect (bug),normal
41675,Add filter to bypass display/query for Media Months filter in media modal,reviewing,good-first-bug has-patch has-unit-tests,,enhancement,normal
41753,_wp_get_attachment_relative_path uses hardcoded uploads directory path,reopened,has-patch,,enhancement,normal
41801,add wp_get_image_extensions() and wp_image_extensions filter,assigned,has-patch dev-feedback,pbiron,enhancement,normal
