id,Summary,Status,Component,Owner,Type,Priority,Milestone,Version,Keywords,Created,Modified
47456,Improve the user interface to ensure correct usage of the image alt text,accepted,Media,joedolson,defect (bug),high,Future Release,,wpcampus-report needs-patch phase-3-media-triage,06/01/2019 11:15:23 AM,11/25/2025 04:13:45 PM
17255,More statuses (like draft and/or private) for media files,new,Media,,defect (bug),normal,Future Release,3.1,needs-patch phase-3-media-triage,04/27/2011 11:48:11 AM,10/25/2023 03:39:32 PM
22894,Need WordPress Media Uploader Stop or Cancel Button in WP Version 3.5,reopened,Media,,enhancement,normal,,3.5,needs-patch phase-3-media-triage,12/12/2012 05:34:01 PM,10/18/2023 04:05:38 PM
22937,Bulk Actions > Edit could allow batch-assignment of taxonomies to Media following the WP 3.5 media changes,new,Media,,feature request,normal,,,needs-patch phase-3-media-triage,12/14/2012 01:59:37 PM,10/18/2023 03:53:15 PM
23436,Media Gallery - Cropping Image and then Cropping a thumbnail from that crop doesn't work.,accepted,Media,joedolson,defect (bug),normal,Awaiting Review,3.5,needs-patch 2nd-opinion media-edit,02/10/2013 05:20:00 PM,05/01/2024 06:42:48 PM
28321,"Media uploader confuses user with description, caption, alt and title, without explanation",new,Media,,enhancement,normal,,3.5,phase-3-media-triage,05/21/2014 08:07:21 AM,10/18/2023 04:08:48 PM
31177,Captions video not saved with the post and are lost on attachment page,assigned,Media,postphotos,defect (bug),normal,Future Release,4.1,needs-patch phase-3-media-triage,01/29/2015 04:13:09 PM,01/24/2024 05:36:59 PM
31395,"Indicate difference of two visually equal, but otherwise different images in non-list media views",new,Media,,enhancement,normal,,4.0,phase-3-media-triage,02/20/2015 06:19:09 PM,10/18/2023 04:17:30 PM
32849,Allow option of Grid AND List View of the gallery when inserting media into post,new,Media,,enhancement,normal,,,needs-patch phase-3-media-triage,07/01/2015 12:24:57 AM,10/18/2023 04:27:12 PM
32965,Add new Credit field to media attachment details,new,Media,,enhancement,normal,,,phase-3-media-triage,07/12/2015 05:14:33 AM,10/18/2023 04:35:53 PM
34223,Core support for image regeneration,new,Media,,feature request,normal,,4.3,phase-3-media-triage,10/08/2015 08:26:48 PM,10/18/2023 03:52:00 PM
35887,Adding multiple media to post - selecting image size,new,Media,,defect (bug),normal,Awaiting Review,4.4.2,needs-patch has-needs-design-feedback phase-3-media-triage,02/20/2016 12:03:10 PM,10/25/2023 04:35:24 AM
39004,Alt attributes should be searchable in media library,accepted,Media,joedolson,enhancement,normal,Future Release,3.0,has-patch has-unit-tests phase-3-media-triage needs-design,12/01/2016 03:58:50 PM,01/05/2026 02:36:09 PM
39358,Media search speed has been dramatically reduced,reopened,Media,joemcgill,defect (bug),normal,Future Release,4.7,needs-patch phase-3-media-triage,12/21/2016 08:07:18 AM,09/24/2025 01:46:32 AM
40126,Mobile has two media editing experiences,new,Media,,defect (bug),normal,Awaiting Review,,phase-3-media-triage,03/12/2017 12:38:39 PM,10/25/2023 05:04:49 AM
41462,Promote media details admin page to full post page,new,Media,,enhancement,normal,Future Release,4.9,needs-design phase-3-media-triage,07/27/2017 05:43:26 PM,10/18/2023 04:01:34 PM
42751,Can we please  enqueue media-views independently ?,new,Media,,defect (bug),normal,Awaiting Review,4.9,phase-3-media-triage,11/29/2017 10:14:11 PM,06/13/2024 01:56:59 AM
43178,Rethinking what “captions” means for video,accepted,Media,joedolson,enhancement,normal,7.1,5.1,has-patch has-ux-feedback phase-3-media-triage needs-testing has-test-info,01/29/2018 04:32:59 PM,07/01/2026 10:17:33 PM
43658,Media attachment filter drop-down mime types in grid mode is not properly filtered by available mime types,assigned,Media,,defect (bug),normal,Future Release,4.9.4,has-screenshots phase-3-media-triage,03/29/2018 07:07:42 AM,10/18/2023 04:51:19 PM
53013,Improve media library grid management tools,accepted,Media,joedolson,enhancement,normal,Future Release,,phase-3-media-triage,04/09/2021 07:07:03 PM,07/02/2024 03:35:19 PM
59742,Media library should display the number of pages/posts/urls a particular media file is being used in.,assigned,Media,,enhancement,normal,Future Release,,phase-3-media-triage,10/26/2023 08:19:37 AM,08/07/2024 03:49:27 PM
59753,Attach image to existing content functionality not working properly,new,Media,,defect (bug),normal,Future Release,,phase-3-media-triage,10/27/2023 07:14:55 AM,04/18/2024 08:37:08 PM
60250,Feature Req – Media Library Grid-List,assigned,Media,antpb,feature request,normal,Future Release,,phase-3-media-triage,01/14/2024 04:18:41 PM,09/30/2024 02:37:11 AM
60345,Add duplicate checking for uploaded attachments,new,Media,,enhancement,normal,Awaiting Review,,phase-3-media-triage,01/25/2024 04:39:34 PM,05/01/2024 03:51:05 PM
